ST004D01T,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,IC170Q01JA,IC170Q02JA,IC170Q03JA,IC170Q04JA,IC170Q05JA,IC170Q06JA,IC170Q07JA,IC171Q01JA,IC171Q02JA,IC171Q03JA,IC171Q04JA,IC171Q05JA,IC171Q06JA,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
2.0,,,,,,,5.0,5.0,1.0,5.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,15.5,608.857,634.904,683.285,663.026,643.286,642.075,691.457,645.666,676.368,632.144,629.066,626.291,707.05,674.582,626.349,698.754,699.916,685.183,727.956,629.247,689.949,698.496,787.491,741.488,718.76,787.097,820.574,743.79,798.335,713.849
2.0,,,,,,,,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.67,432.575,420.129,449.524,407.252,395.136,413.128,418.446,449.756,419.107,434.082,400.067,394.049,384.303,391.689,402.534,394.382,439.131,434.022,415.787,373.693,373.84,416.435,484.211,412.458,451.222,422.192,428.796,429.54,409.259,390.234
2.0,,,,,,,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,16.08,617.353,610.864,586.203,585.626,570.596,500.862,547.125,509.796,447.363,528.237,623.573,614.265,621.427,665.343,662.604,663.028,625.382,647.027,585.906,620.311,586.889,611.295,586.147,618.923,628.389,543.923,565.325,568.052,560.387,562.692
1.0,,,,,,,4.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,6.0,2.0,15.5,395.96,423.278,414.661,378.402,416.593,370.329,430.242,413.649,410.389,369.192,353.915,404.926,399.31,455.844,420.715,405.64,394.291,462.511,413.615,399.555,434.291,515.956,469.482,384.715,419.081,447.949,510.923,513.159,520.011,448.045
1.0,,,,,,,5.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,15.75,344.028,361.087,364.718,359.244,387.087,289.618,373.015,338.925,330.519,351.285,415.882,389.033,383.676,394.111,388.001,424.105,382.486,400.061,396.863,399.596,358.661,439.684,322.263,421.665,413.591,341.068,385.962,399.16,368.67,343.529
1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,4.0,3.0,3.0,3.0,2.0,,,,,,,,16.08,349.386,347.932,336.431,394.405,386.314,355.986,376.583,395.685,426.027,381.026,435.304,439.725,457.497,472.631,471.566,408.823,448.878,500.0,439.885,397.732,397.519,318.72,433.995,375.831,414.597,328.727,373.077,411.583,455.351,362.564
2.0,,,,,,,5.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,15.42,493.183,515.013,425.837,504.737,490.362,488.221,462.754,495.033,534.153,469.184,630.512,609.013,568.347,646.242,611.52,592.852,647.441,614.168,630.885,604.697,557.292,655.003,551.471,570.163,605.154,617.515,629.059,594.409,595.982,546.337
2.0,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,15.42,540.19,507.054,494.678,511.95,467.826,551.352,524.218,509.402,515.313,518.626,536.919,448.348,547.169,532.265,555.279,535.263,545.487,523.558,515.426,500.288,566.696,519.033,600.487,586.099,589.668,566.871,528.884,535.717,597.026,571.158
1.0,,,,,,,5.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,16.33,533.083,582.029,553.756,588.054,543.409,557.315,564.114,522.191,554.48,507.122,605.075,681.04,691.059,740.38,649.246,648.285,702.55,551.043,569.195,566.114,564.868,584.911,539.21,592.602,589.337,550.425,559.214,544.137,554.674,519.026
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,15.42,376.117,331.952,284.99,347.545,356.882,325.354,335.948,291.836,367.047,354.798,448.868,465.163,448.269,501.508,495.446,430.23,481.031,467.309,472.488,467.793,376.804,369.738,286.834,418.849,375.067,345.264,356.807,336.419,400.346,393.951
